Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Calling,Wii,2009,Adventure,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,49,28,6.7,16
Yomawari,PSV,2015,Adventure,Nippon Ichi Software,0.02,0.02,0.06,0.01,0.11,0,0,0,0
Night at the Museum: Battle of the Smithsonian,X360,2009,Action,Majesco Entertainment,0.07,0.03,0,0.01,0.11,50,15,7.1,8
Pinball Hall of Fame: The Williams Collection,PSP,2008,Misc,System 3 Arcade Software,0.09,0.01,0,0.01,0.11,78,4,tbd,0
Spyborgs,Wii,2009,Action,Capcom,0.09,0.01,0,0.01,0.11,66,30,6.3,6
ESA Game Pack,PS3,2010,Misc,Sony Computer Entertainment,0.1,0,0,0.01,0.11,0,0,tbd,0
Outlaw Golf: Nine Holes of Christmas,XB,2002,Sports,Simon & Schuster Interactive,0.08,0.02,0,0,0.11,0,0,0,0
Invizimals: The Lost Tribes,PSP,2011,Action,Sony Computer Entertainment,0,0.08,0,0.03,0.11,0,0,tbd,0
NHL Rivals 2004,XB,2003,Sports,Microsoft Game Studios,0.08,0.02,0,0,0.11,65,39,8.8,20
Bodycount,X360,2011,Shooter,Codemasters,0.07,0.03,0,0.01,0.11,53,61,4.7,73
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0,0,0.11,56,12,tbd,0
Tyco RC: Assault with a Battery,PS,1999,Racing,Syscom,0.06,0.04,0,0.01,0.11,0,0,0,0
Felony 11-79,PS,1997,Racing,ASCII Entertainment,0.06,0.04,0,0.01,0.11,0,0,0,0
Machinarium,PC,2009,Adventure,Daedalic,0,0.09,0,0.02,0.11,85,47,8.8,526
Avatar: The Last Airbender,PSP,2006,Adventure,THQ,0.1,0,0,0.01,0.11,57,9,6.3,10
Death Jr.: Root of Evil,Wii,2008,Platform,Eidos Interactive,0.1,0,0,0.01,0.11,71,14,8.1,14
Classic Road,SNES,1993,Sports,Victor Interactive,0,0,0.11,0,0.11,0,0,0,0
Panzer Dragoon Saga,SAT,1997,Role-Playing,Sega,0,0,0.11,0,0.11,0,0,0,0
Michael Phelps: Push the Limit,X360,2011,Sports,505 Games,0.09,0.01,0,0.01,0.11,48,10,3.5,6
Nicktoons: Unite!,DS,2006,Adventure,THQ,0.1,0,0,0.01,0.11,0,0,0,0
Lost in Blue,DS,2005,Adventure,Konami Digital Entertainment,0.07,0.02,0.02,0.01,0.11,69,33,7.8,21
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.08,0,0.02,0.02,0.11,0,0,0,0
Smash Court Tennis 3,X360,2007,Sports,Atari,0.08,0.02,0,0.01,0.11,55,32,tbd,0
Batman: Return to Arkham,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0,0.01,0.11,77,6,8.2,43
The Scorpion King: Rise of the Akkadian,GC,2002,Action,Universal Interactive,0.08,0.02,0,0,0.11,49,7,tbd,0
Shining Ark,PSP,2013,Role-Playing,Sega,0,0,0.11,0,0.11,0,0,0,0
Transformers: Beast Wars Transmetals,PS,2000,Fighting,BAM! Entertainment,0.06,0.04,0,0.01,0.11,0,0,0,0
GiFTPiA,GC,N/A,Role-Playing,Unknown,0,0,0.11,0,0.11,0,0,0,0
My Little Sister Can't Be This Cute Portable,PSP,2012,Action,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Backyard NFL Football '10,X360,2009,Sports,Atari,0.1,0,0,0.01,0.11,0,0,0,0
Constantine,PS2,2005,Action,SCi,0.05,0.04,0,0.01,0.11,58,29,7.4,24
Charlie and the Chocolate Factory,XB,2005,Adventure,Global Star,0.08,0.02,0,0,0.11,39,20,0.5,8
Dynasty Tactics 2,PS2,2003,Strategy,Tecmo Koei,0.05,0.04,0,0.01,0.11,78,18,9.1,13
Real World Golf,PS2,2005,Sports,Valcon Games,0.05,0.04,0,0.01,0.11,73,11,6.3,4
Winter Heat,SAT,1996,Sports,Sega,0,0,0.11,0,0.11,0,0,0,0
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004,Platform,Electronic Arts,0.08,0.02,0,0,0.11,69,29,8.8,4
Hole in the Wall: Deluxe Edition,X360,2011,Misc,Ubisoft,0.1,0,0,0.01,0.11,0,0,tbd,0
Defender,GC,2002,Misc,Midway Games,0.08,0.02,0,0,0.11,66,14,tbd,0
Blazblue: Continuum Shift Extend,PSV,2011,Fighting,PQube,0.03,0.05,0.02,0.02,0.11,83,28,7.5,97
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.1,0,0,0.01,0.11,0,0,0,0
Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0,0,0.01,0.11,45,16,7.3,4
The Polar Express,GC,2004,Adventure,THQ,0.08,0.02,0,0,0.11,40,7,4.7,9
BMX XXX,XB,2002,Sports,Acclaim Entertainment,0.08,0.02,0,0,0.11,58,26,7.8,9
ATV: Quad Frenzy,DS,2005,Racing,Majesco Entertainment,0.1,0,0,0.01,0.11,35,5,tbd,0
Touch Detective 2 1/2,DS,2007,Adventure,505 Games,0.09,0,0.01,0.01,0.11,67,13,tbd,0
Animal Planet: Vet Life,DS,2009,Simulation,Activision,0.1,0,0,0.01,0.11,0,0,tbd,0
Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,0.1,0,0,0.01,0.11,66,18,6.4,5
Picross 3D 2,3DS,2015,Puzzle,Nintendo,0,0,0.11,0,0.11,0,0,0,0
Pimp My Ride,X360,2006,Racing,Activision,0.1,0,0,0.01,0.11,38,14,3.8,29
Lady Sia,GBA,2001,Platform,TDK Mediactive,0.08,0.03,0,0,0.11,73,8,tbd,0
Rock Band: Metal Track Pack,PS2,2009,Misc,MTV Games,0.05,0.04,0,0.01,0.11,0,0,tbd,0
Robotech: Invasion,PS2,2004,Shooter,Global Star,0.05,0.04,0,0.01,0.11,57,33,tbd,0
Vacation Sports,Wii,2009,Sports,Ubisoft,0.09,0.01,0,0.01,0.11,0,0,tbd,0
PDC World Championship Darts: Pro Tour,Wii,2010,Sports,O-Games,0,0.09,0,0.01,0.11,0,0,0,0
Hollywood Squares,Wii,2010,Misc,Ubisoft,0.1,0,0,0.01,0.11,0,0,tbd,0
Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0,0,0.11,56,6,tbd,0
Irozuki Tingle no Koi no Balloon Trip,DS,2009,Adventure,Nintendo,0,0,0.11,0,0.11,0,0,0,0
Silly Bandz: Play The Craze,DS,2010,Puzzle,Deep Silver,0.1,0,0,0.01,0.11,0,0,0,0
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,79,42,7.9,76
Final Fantasy I & II,NES,1994,Role-Playing,Square,0,0,0.11,0,0.11,0,0,0,0
Starsky & Hutch,GC,2003,Racing,BAM! Entertainment,0.08,0.02,0,0,0.11,0,0,0,0
Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,44,31,5.7,9
Langrisser IV,SAT,1997,Strategy,NCS,0,0,0.11,0,0.11,0,0,0,0
ATV Quad Kings,DS,2010,Racing,Storm City Games,0.1,0,0,0.01,0.11,47,4,tbd,0
FoxKids.com Micro Maniacs Racing,PS,2000,Racing,Codemasters,0.06,0.04,0,0.01,0.11,0,0,0,0
Hexen: Beyond Heretic,PS,1997,Shooter,GT Interactive,0.06,0.04,0,0.01,0.11,0,0,0,0
NBA Live 16,XOne,2015,Sports,Electronic Arts,0.09,0.01,0,0.01,0.11,60,17,5.6,62
Arcade Party Pak,PS,1999,Misc,Midway Games,0.06,0.04,0,0.01,0.11,0,0,0,0
Deus Ex: Human Revolution,WiiU,2013,Shooter,Square Enix,0.05,0.05,0,0.01,0.11,0,0,0,0
Sonic Generations,PC,2011,Platform,Sega,0.02,0.07,0,0.02,0.11,77,11,8.3,337
Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004,Puzzle,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Yamaha Supercross,DS,2009,Racing,Zoo Digital Publishing,0.1,0,0,0.01,0.11,0,0,tbd,0
Hitman Trilogy,PS2,2007,Action,Eidos Interactive,0.05,0.04,0,0.01,0.11,0,0,tbd,0
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006,Misc,Square Enix,0,0,0.11,0,0.11,0,0,0,0
Astro Boy: The Video Game,Wii,2009,Action,D3Publisher,0.1,0,0,0.01,0.11,48,17,3.5,4
Railroad Tycoon II,PS,1999,Strategy,PopTop Software,0.06,0.04,0,0.01,0.11,0,0,0,0
The Cheetah Girls: Pop Star Sensations,DS,2007,Misc,Disney Interactive Studios,0.1,0,0,0.01,0.11,0,0,tbd,0
Kirarin * Revolution: Kira Kira Idol Audition,DS,2006,Simulation,Konami Digital Entertainment,0,0,0.11,0,0.11,0,0,0,0
Rock Band: Metal Track Pack,Wii,2009,Misc,MTV Games,0.1,0,0,0.01,0.11,0,0,tbd,0
Ranma 1/2: Akanekodan Teki Hihou,SNES,1993,Role-Playing,TOHO,0,0,0.11,0,0.11,0,0,0,0
Grand Theft Auto: San Andreas,X360,2008,Action,Take-Two Interactive,0.08,0.02,0,0.01,0.11,0,0,7.5,46
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,2011,Action,THQ,0.07,0.03,0,0.01,0.11,0,0,0,0
Planet 51,X360,2009,Action,Sega,0.07,0.03,0,0.01,0.11,53,13,tbd,0
The BIGS,PSP,2007,Sports,Take-Two Interactive,0.1,0,0,0.01,0.11,72,9,tbd,0
[Prototype 2],PC,2012,Action,Activision,0.07,0.03,0,0.01,0.11,76,12,6.4,389
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.11,62,10,7.2,40
Happy Feet Two,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.11,0,0,0,0
Victory Zone,PS,1995,Misc,Sony Computer Entertainment,0,0,0.1,0.01,0.11,0,0,0,0
Cabela's North American Adventures,X360,2010,Sports,Activision,0.1,0,0,0.01,0.11,51,5,9,4
Rengoku: The Tower of Purgatory,PSP,2005,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,43,30,5.6,22
Cabela's Adventure Camp,PS3,2011,Misc,Activision,0.06,0.03,0,0.02,0.11,0,0,tbd,0
Goal Storm '97,PS,1996,Sports,Konami Digital Entertainment,0.01,0,0.09,0.01,0.11,0,0,0,0
Paws & Claws: Pet Resort,Wii,2009,Simulation,THQ,0.1,0,0,0.01,0.11,0,0,0,0
Bust-A-Move DS,DS,2005,Puzzle,505 Games,0.08,0.02,0,0.01,0.11,75,14,7,6
Dynasty Warriors Advance,GBA,2005,Action,Nintendo,0.08,0.03,0,0,0.11,56,22,tbd,0
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.11,69,35,8,79
Pachi-Slot Aruze Oukoku 3,PS,2000,Misc,Aruze Corp,0,0,0.1,0.01,0.11,0,0,0,0
Tournament Pool,Wii,2009,Sports,Destineer,0.1,0,0,0.01,0.11,0,0,tbd,0
Rock Band Track Pack: Classic Rock,PS3,2009,Misc,MTV Games,0.1,0,0,0.01,0.11,0,0,tbd,0
Aqua Aqua,PS2,2000,Puzzle,3DO,0.05,0.04,0,0.01,0.11,79,14,tbd,0
BlazBlue: Continuum Shift II,3DS,2011,Fighting,PQube,0.05,0.01,0.04,0.01,0.11,64,14,6.1,19
Cats & Dogs: The Revenge of Kitty Galore,DS,2010,Action,505 Games,0.1,0,0,0.01,0.11,0,0,0,0
Mega Man Zero 4,GBA,2005,Platform,Capcom,0.08,0.03,0,0,0.11,77,17,9.1,21
NASCAR '14,PS3,2014,Racing,Deep Silver,0.09,0,0,0.02,0.11,67,7,4.6,20
Where the Wild Things Are,PS3,2009,Platform,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.11,53,8,4.8,4
Black Bass with Blue Marlin,PS,1999,Sports,Starfish,0.06,0.04,0,0.01,0.11,0,0,0,0
DJ Max Fever,PSP,2009,Misc,PM Studios,0.09,0,0,0.01,0.11,77,5,6.5,13
Mega Man Battle Network 5: Double Team DS (JP sales),DS,2005,Role-Playing,Nintendo,0,0,0.11,0,0.11,0,0,0,0
Shrek: Forever After,X360,2010,Platform,Activision,0.1,0,0,0.01,0.11,62,22,6.2,9
My Boyfriend,DS,2008,Simulation,DTP Entertainment,0.1,0,0,0.01,0.11,0,0,tbd,0
Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006,Adventure,Aqua Plus,0,0,0.11,0,0.11,0,0,0,0
Dawn of Discovery,DS,2009,Simulation,Ubisoft,0.07,0.03,0,0.01,0.11,82,11,7.3,7
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.04,0.06,0,0.01,0.11,85,14,6.2,144
Hyper Formation Soccer,PS,1995,Sports,Human Entertainment,0,0,0.1,0.01,0.11,0,0,0,0
Tiger Woods PGA Tour 06,GC,2005,Sports,Electronic Arts,0.08,0.02,0,0,0.11,82,19,4.8,4
Jupiter Strike,PS,1994,Shooter,Acclaim Entertainment,0.06,0.04,0,0.01,0.11,0,0,0,0
Totally Spies! Totally Party,Wii,2008,Misc,Ubisoft,0.09,0.01,0,0.01,0.11,0,0,0,0
Sudokuro,DS,2007,Puzzle,Crave Entertainment,0.1,0,0,0.01,0.11,0,0,tbd,0
ArmA III,PC,2013,Shooter,Bohemia Interactive,0,0.1,0,0.01,0.11,74,38,7.4,866
Saigo no Yakusoku no Monogatari,PSP,2011,Role-Playing,Unknown,0,0,0.11,0,0.11,0,0,0,0
Metal Gear Solid Integral,PS,1999,Adventure,Konami Digital Entertainment,0,0,0.1,0.01,0.11,0,0,0,0
Tetris Evolution,X360,2007,Puzzle,THQ,0.08,0.02,0,0.01,0.11,52,21,tbd,0
Green Lantern: Rise of the Manhunters,DS,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.02,0,0.01,0.11,0,0,tbd,0
FIFA World Cup Germany 2006,PSP,2006,Sports,Electronic Arts,0.1,0,0,0.01,0.11,72,15,7.3,8
Fit in Six,Wii,2011,Sports,Ubisoft,0.1,0,0,0.01,0.11,0,0,tbd,0
Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.08,0.02,0,0,0.11,54,9,5.9,7
Naruto Shippuden: Naruto vs. Sasuke,DS,2008,Action,Takara Tomy,0.07,0,0.03,0,0.11,64,7,tbd,0
MLB 14: The Show,PSV,2014,Sports,Sony Computer Entertainment America,0.08,0,0,0.03,0.11,68,6,7,25
Rogue Warrior,X360,2009,Shooter,Bethesda Softworks,0.09,0.01,0,0.01,0.11,28,33,2.8,64
Sniper Elite,Wii,2010,Shooter,Reef Entertainment,0.07,0.02,0,0.01,0.11,71,4,tbd,0
Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Sakura Wars,DC,2000,Adventure,Sega,0,0,0.11,0,0.11,0,0,0,0
Jampack Volume 14 (RP-T),PS2,2006,Misc,Sony Computer Entertainment,0.05,0.04,0,0.01,0.11,0,0,0,0
Pro Yakyuu Team o Tsukurou! 2,DS,2009,Sports,Sega,0,0,0.11,0,0.11,0,0,0,0
Mace Griffin: Bounty Hunter,XB,2003,Shooter,Electronic Arts,0.08,0.02,0,0,0.11,64,27,8.2,11
Naruto Shippuden 3D: The New Era,3DS,2011,Action,505 Games,0,0.04,0.06,0.01,0.11,0,0,0,0
Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0,0.01,0.11,46,4,0,0
Martian Gothic: Unification,PS,2001,Adventure,Take-Two Interactive,0.06,0.04,0,0.01,0.11,64,4,6.1,16
Final Fantasy XII International Zodiac Job System,PS2,2007,Role-Playing,Square Enix,0,0,0.11,0,0.11,0,0,0,0
Fight Club,XB,2004,Fighting,Vivendi Games,0.08,0.02,0,0,0.11,37,29,4.7,13
WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.05,0.04,0,0.01,0.11,0,0,tbd,0
Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,0,0,0,0
Tom Clancy's Splinter Cell: Conviction,PC,2010,Action,Ubisoft,0,0.08,0,0.02,0.11,83,20,5.2,672
"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,Adventure,Take-Two Interactive,0.06,0.04,0,0.01,0.11,0,0,0,0
Kamen Rider: Climax Heroes,PS2,2009,Fighting,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Robotics;Notes,PS3,2012,Adventure,5pb,0,0,0.11,0,0.11,0,0,0,0
Disney Channel Collection Vol. 1,GBA,2004,Misc,N/A,0.08,0.03,0,0,0.11,0,0,0,0
Total Immersion Racing,PS2,2002,Racing,Empire Interactive,0.05,0.04,0,0.01,0.11,59,7,tbd,0
The Hardy Boys: The Hidden Theft,Wii,2009,Adventure,The Adventure Company,0.07,0.03,0,0.01,0.11,50,5,tbd,0
Virtual Hydlide,SAT,1995,Role-Playing,Sega,0,0,0.11,0,0.11,0,0,0,0
Rango: The Video Game,DS,2011,Action,Electronic Arts,0.07,0.03,0,0.01,0.11,55,4,tbd,0
Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0,0,0.11,0,0.11,0,0,0,0
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0,0,0.11,0,0,0,0
FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.02,0,0.01,0.11,80,44,8.8,66
Viewtiful Joe: Double Trouble!,DS,2005,Action,Capcom,0.08,0,0.01,0.01,0.11,0,0,0,0
Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.06,0.04,0,0.01,0.11,51,5,9,44
Petz Fashion: Dogz & Catz,DS,2009,Simulation,Ubisoft,0.1,0,0,0.01,0.11,0,0,0,0
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0,0.04,0.06,0.01,0.11,66,7,7.5,54
Kuroko's Basketball: Miracle Game,PSP,2012,Sports,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.11,75,13,7.8,20
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2,2006,Sports,Konami Digital Entertainment,0,0,0.11,0,0.11,0,0,0,0
Stronghold Kingdoms,PC,2011,Strategy,DTP Entertainment,0,0.1,0,0.01,0.11,75,4,4.9,89
Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,Strategy,Sony Computer Entertainment,0,0,0.11,0,0.11,0,0,0,0
Lucha Libre AAA: Heroes del Ring,PS3,2010,Fighting,Konami Digital Entertainment,0.1,0,0,0.01,0.11,54,6,7.1,10
Dead to Rights II,XB,2005,Shooter,Electronic Arts,0.08,0.02,0,0,0.11,54,35,7.4,5
Hysteria Hospital: Emergency Ward,DS,2009,Action,Oxygen Interactive,0.1,0,0,0.01,0.11,45,12,tbd,0
Project: Horned Owl,PS,1995,Shooter,Sony Computer Entertainment,0.03,0.02,0.05,0.01,0.11,0,0,0,0
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,2012,Action,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.04,0,0.01,0.11,60,7,6.5,10
Trauma Center: Under the Knife 2,DS,2008,Simulation,Atlus,0.1,0,0,0.01,0.11,79,29,8.5,11
Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES,1995,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11,0,0,0,0
Busou Shinki: Battle Masters Mk. 2,PSP,2011,Action,Konami Digital Entertainment,0,0,0.11,0,0.11,0,0,0,0
Skylanders Imaginators,PS3,2016,Platform,Activision,0.02,0.07,0,0.02,0.11,0,0,tbd,0
Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0,0,0.11,63,4,tbd,0
Fate/Extella: The Umbral Star,PS4,2016,Action,PQube,0,0,0.11,0,0.11,0,0,0,0
Fairy Tail: Portable Guild,PSP,2010,Fighting,Konami Digital Entertainment,0,0,0.11,0,0.11,0,0,0,0
Big League Sports: Summer,DS,2009,Sports,Activision,0.09,0,0,0.01,0.11,0,0,tbd,0
SimCity 2000,GBA,2003,Simulation,Zoo Digital Publishing,0.08,0.03,0,0,0.11,62,9,7.8,11
Brunswick Circuit Pro Bowling 2,PS,2000,Sports,THQ,0.06,0.04,0,0.01,0.11,0,0,0,0
D,PS,1995,Adventure,Acclaim Entertainment,0,0,0.1,0.01,0.11,0,0,0,0
Rock Revolution,DS,2008,Misc,Konami Digital Entertainment,0.1,0,0,0.01,0.1,0,0,6.8,8
X-Men: The Official Game,DS,2006,Action,Activision,0.1,0,0,0.01,0.1,50,17,7.8,6
"Sakura Wars: So Long, My Love",Wii,2010,Role-Playing,Ackkstudios,0.05,0.04,0,0.01,0.1,75,30,7.3,31
Ennichi no Tatsujin,Wii,2006,Misc,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Mind Zero,PSV,2013,Role-Playing,GungHo,0.05,0,0.04,0.02,0.1,59,13,6,72
Rocky Balboa,PSP,2007,Sports,Ubisoft,0.01,0.09,0,0.01,0.1,58,17,6.6,11
Wizardry VI: Bane of the Cosmic Forge,SNES,1995,Role-Playing,ASCII Entertainment,0,0,0.1,0,0.1,0,0,0,0
Power Pocket Koushien,DS,2005,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1,0,0,0,0
Pro Yaky? Spirits 2010,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1,0,0,0,0
Taiko no Tatsujin: V Version,PSV,2015,Action,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Gravity Games Bike: Street Vert Dirt,PS2,2002,Sports,Midway Games,0.05,0.04,0,0.01,0.1,24,12,4.1,27
Top Spin,PS2,2005,Sports,Take-Two Interactive,0.05,0.04,0,0.01,0.1,67,28,7.8,12
Derby Stallion P,PSP,2006,Sports,Enterbrain,0,0,0.1,0,0.1,0,0,0,0
Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0,0,0.01,0.1,47,4,5.3,6
Kamen Rider: Battride War II,PS3,2014,Action,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,Action,Spike,0,0,0.1,0,0.1,0,0,0,0
UFC: Tapout 2,XB,2003,Fighting,Capcom,0.08,0.02,0,0,0.1,66,14,7.3,4
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,DS,2007,Simulation,Konami Digital Entertainment,0,0,0.1,0,0.1,0,0,0,0
The Book of Unwritten Tales,PC,2009,Adventure,HMH Interactive,0,0.08,0,0.02,0.1,82,32,8.2,144
My First Dollhouse,DS,2010,Misc,505 Games,0.1,0,0,0.01,0.1,0,0,tbd,0
Dreamer Series: Top Model,DS,2009,Simulation,DreamCatcher Interactive,0.1,0,0,0.01,0.1,0,0,tbd,0
Science Papa,DS,2009,Misc,Activision,0.09,0.01,0,0.01,0.1,0,0,tbd,0
The Godfather: Mob Wars,PSP,2006,Action,Electronic Arts,0.09,0,0,0.01,0.1,59,34,7.9,16
American Girl: Julie Finds a Way,DS,2007,Adventure,THQ,0.1,0,0,0.01,0.1,0,0,tbd,0
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Jikkyou Powerful Pro Yakyuu 10,GC,2003,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1,0,0,0,0
Ski-Doo Snowmobile Challenge,PS3,2009,Racing,PQube,0.1,0,0,0.01,0.1,0,0,tbd,0
Vexx,XB,2003,Platform,Acclaim Entertainment,0.08,0.02,0,0,0.1,70,21,8.5,10
F1 Career Challenge,PS2,2003,Racing,Electronic Arts,0.05,0.04,0,0.01,0.1,70,15,7.7,15
Pariah,XB,2005,Action,Hip Interactive,0.08,0.02,0,0,0.1,70,52,7.4,19
Cabela's Outdoor Adventures,XB,2005,Sports,Zoo Digital Publishing,0.08,0.02,0,0,0.1,0,0,tbd,0
Fatal Frame 2: Wii Edition,Wii,2012,Action,Nintendo,0,0,0.1,0,0.1,0,0,0,0
Metal Slug 3,XB,2004,Shooter,Ignition Entertainment,0.08,0.02,0,0,0.1,76,56,5.1,15
World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006,Misc,Activision,0.1,0,0,0.01,0.1,0,0,0,0
Motocross Mania 3,PS2,2004,Racing,Take-Two Interactive,0.05,0.04,0,0.01,0.1,0,0,0,0
Sacred 3,PS3,2014,Role-Playing,Deep Silver,0.03,0.04,0.03,0.01,0.1,56,13,3.4,46
Yoostar2,PS3,2011,Misc,Unknown,0.04,0.04,0,0.02,0.1,54,15,tbd,0
Pro Yakyuu Famista DS 2009,DS,2009,Sports,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Winning Eleven: Pro Evolution Soccer 2007,X360,2006,Sports,Konami Digital Entertainment,0.09,0,0,0.01,0.1,79,22,6.5,33
Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0,0,0.1,68,22,5.9,9
Gallop Racer 2006,PS2,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,69,15,8.3,8
Wasteland 2,PC,2015,Role-Playing,inXile Entertainment,0.03,0.06,0,0.01,0.1,81,65,7.3,1170
The First Templar,X360,2011,Action,Kalypso Media,0.06,0.04,0,0.01,0.1,52,21,6.3,26
Patapon 2,PSP,2008,Misc,Sony Computer Entertainment,0,0.03,0.06,0.01,0.1,81,49,8.3,62
Digimon Story: Lost Evolution,DS,2010,Role-Playing,Namco Bandai Games,0,0,0.1,0,0.1,0,0,0,0
Frogger: Ancient Shadow,PS2,2005,Platform,Konami Digital Entertainment,0.05,0.04,0,0.01,0.1,54,17,4,5
Princess Debut,DS,2008,Misc,Cave,0.1,0,0,0.01,0.1,71,6,7.4,7
Pro Evolution Soccer 2014,PC,2013,Action,Konami Digital Entertainment,0,0.1,0,0.01,0.1,74,9,4.4,239
Despicable Me: The Game,PS2,2010,Platform,D3Publisher,0.05,0.04,0,0.01,0.1,0,0,0,0
Metal Arms: Glitch in the System,GC,2003,Shooter,Vivendi Games,0.08,0.02,0,0,0.1,83,30,9.3,19
Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0,0,0.1,0,0.1,0,0,0,0
The Bachelor: The Videogame,Wii,2010,Misc,Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.1,0,0,0,0
Tom Clancy's Splinter Cell: Chaos Theory,GC,2005,Action,Ubisoft,0.08,0.02,0,0,0.1,81,28,8.5,15
Escape From Monkey Island,PS2,2001,Adventure,LucasArts,0.05,0.04,0,0.01,0.1,84,21,8.2,11
Disney's Chicken Little: Ace In Action,Wii,N/A,Shooter,Disney Interactive Studios,0.09,0,0,0.01,0.1,72,8,tbd,0
The Lord of the Rings: Conquest,DS,2009,Action,Electronic Arts,0.09,0.01,0,0.01,0.1,61,9,7.8,6
Imagine: Soccer Captain,DS,2009,Sports,Ubisoft,0.1,0,0,0.01,0.1,0,0,tbd,0
Mickey's Speedway USA (weekly JP sales),N64,2000,Racing,Nintendo,0,0,0.1,0,0.1,0,0,0,0
Brain Quest: Grades 5 & 6,DS,2008,Misc,Electronic Arts,0.1,0,0,0.01,0.1,0,0,0,0
