number,name,platform,release_date,summary,meta_score,user_review
10507,The Inner Friend, Xbox One,"April 28, 2020",Descend into an eerie world made of scattered memories and unresolved traumas and explore a nightmarish landscape where you will come face to face with childhood fears and nightmares.,71,0.0
10516,Pictionary, Wii,"November 14, 2010","Pictionary, the game of quick sketches and crazy guesses, has innovative new functionality and game modes for the whole family! In addition to great classic Pictionary play, new features include rotating canvases, one-line challenges and other fun gameplay modes in a lively game show setting.",71,0.0
10539,SYNTHETIK: Ultimate, Switch,"December 16, 2020","SYNTHETIK is an unforgiving tactical shooter rogue-lite where freedom and experimentation is key. Fight against relentless opponents and unforgiving bosses encased in ever-changing environments. Master the uniquely deep and satisfying weapon mechanics and the unprecedented amount of customization. Discover a seemingly unending amount of weapons, items, perks and character upgrades.",71,0.0
10547,Fearful Symmetry & The Cursed Prince, Xbox One,"December 12, 2017",Fearful Symmetry is a puzzle game with a unique brain-teasing twist. Control multiple characters at the same time; both in different dimensions. It is up to you to move the characters simultaneously in opposite directions to guide them through treacherous puzzles filled with traps.,71,0.0
10564,Everything, Switch,"January 10, 2019","Discover what it's like to be the Universe in this beautiful interactive nature simulation. Everything is an interactive experience where everything you see is a thing you can be, from animals to planets to galaxies and beyond. Travel between outer and inner space, and explore a vast, interconnected universe of things without enforced goals, scores, or tasks to complete. Everything is a procedural, AI-driven simulation of the systems of nature, seen from the points of view of everything in the Universe. Learn to change what you are to create worlds within worlds within worlds, or let go any time to allow Everything to take over and produce a never ending documentary about the world you live in. Narrated by the inspiring philosophy of Alan Watts, and featuring a rich score from composer Ben Lukas Boysen, Everything will give you a new perspective on life.",71,0.0
10581,Flock!, PlayStation 3,"April 9, 2009","FLOCK! uses a sophisticated physics engine that drives the challenging puzzle elements of the game. Whether it's using the Tractor beam to move obstacles out of the way, or the Depressor beam to stamp out crop circles to guide your herds, being an extraterrestrial has never been this addictive. Friends can also join in through co-op play. And when all the levels have been completed, users can make their own with the level editor that comes with the game. Flock comes packed with so much content, the potential fun is out of this world! Over 50 levels of pastoral puzzle challenges. Explore levels to find secret collectables and upgrades. Level Editor allows players to make their own ""plushie"" and puzzle-filled levels and share them with their friends online. Two-player local co-op mode makes the ""flocking"" exponentially fun. Compelling environments complemented by a whimsical art style, beautiful lighting and distinctive textures make this one of the most graphically-advanced downloadable titles to date. Real-world physics engine creates all new types of puzzles: pick up wooden planks to form bridges, move items to create obstructions, crush wheat into pathways. [Capcom]",71,0.0
10583,Dice Legacy, PC,"September 9, 2021","In this roguelike survival city builder, you lead your realm by rolling the dice - literally, because the dice rolls determining your fate aren't happening in the background but are one of the main gameplay elements of Dice Legacy. Discover uncharted lands and guide your loyal subjects. Put your faith in the dice as you gather resources, construct buildings and expand the borders of your realm. Create a strategy that fits your playstyle as you explore the wilderness. Test your luck as you make contact with the enigmatic factions populating the ringworld. But beware: something wicked is lurking in the mists beyond your realm, waiting for its chance to strike.",71,0.0
10598,Sub Rebellion, PlayStation 2,"October 12, 2002","Hi-Tech Alliance nuclear attack submarine at Minus 1,000 feet. Your mission is simple: Blow the Meluguis Empire to kingdom come. Underwater, your adversary will never see you coming. They better not hear you either. Non-stop, adrenaline-pumping action and adventure await you and your crew. Move full speed ahead around a massive post-apocalyptic underwater world in the most intense sub shooter ever. [Metro3D]",71,0.0
10607,Top Darts, PlayStation 3,"December 21, 2010","Top Darts features a large selection of traditional darts games as well as an assortment of unique challenges & frantic offline multiplayer games for up to 8 players. Using the accuracy of the PlayStation Move motion controller, aim for the highest score in nine classic dart games including 501, Around the Clock, Soccer & Warfare. Or go for gold in a wide range of fun and diverse challenges based on time limits, target scores, and accuracy. Then take your game to the next level and throw yourself into a league or cup competition to become the ultimate Top Darts champion!",70,0.0
10616,Goblin Commander: Unleash the Horde, Xbox,"November 11, 2003","Goblin Commander: Unleash the Horde calls upon your skill and courage to destroy the enemy, pillage the enclaves, and scorch the earth. With a horde of specialized goblin warriors at your command, you can wage war in single-player and multiplayer modes. Design a custom army from over 25 different goblins with melee, ranged, elemental, acid, and magical combat specialties. You can even take direct control of giant titans, powerful turrets, and battle-ready vehicles to cause reckless mayhem across the lands.",70,0.0
10624,Super Swing Golf Season 2, Wii,"December 11, 2007","Swing into action with your favorite characters as they return to the island to challenge new courses with all new story and tournament modes. New multiplayer modes have been introduced to keep the party going with friends and family. With completely new customizations, costumes, and secrets, Super Swing Golf Season 2 is a true hole-in-one. [Tecmo]",70,0.0
10633,Gunpey DS, DS,"November 17, 2006","(Also known in Japan as ""Gunpey Reverse"") With Q Entertainment's tradition for visual style and original music, Gunpey offers a unique puzzle experience. As lines of various angles climb up the screen, the player's objective is to flip the lines, located in squares, to connect them over five columns. Connecting lines from left to right remove the connected row. If an incomplete line reaches the top of the screen, the game is over. Features 40 varied backgrounds and stylized music and two-player multiplayer over wireless ad-hoc connectivity. [Namco Bandai Games]",70,0.0
10695,Land of Legends, PC,"September 21, 2005","Land of Legends is a turn-based fantasy strategy game where eight unique races vie for supremacy using a combination of cold steel and hot magic. Players will have to use their wits and each race's special abilities to bring defeat to the forces of darkness plaguing the lands in the thirty-two mission campaign. The game doesn't end with Evil's defeat though, as a built-in matchmaking service allows infinite replayability by giving players the chance to play against live opponents around the globe. [Shrapnel Games]",70,0.0
10712,Time Recoil, Switch,"October 26, 2017","Kill to slow time! Time Recoil is a top-down shooter with tons of slow motion gunfights, epic special moves, time attack mode, and a time travel storyline. In Time Recoil, you have a super power: Kill to slow time. Subsequent kills give more time in slowdown and enable you to conduct unbelievable slow motion feats! Kills in slowdown grant special moves. With special moves you Dash through walls and enemies. The more kills you gain, the more devastating the move. Combine slowdown and moves into a wall busting chain of destruction! You are the hero of a rebel organization fighting against Mr Time, a mad scientist dictator in possession of a time based weapon of mass destruction. The Time Machine at the rebel base will take you to the past via a wormhole. Mission goals range from assassination to rescuing scientists. Expect the unexpected along the way, and ultimately kill Mr. Time.",70,0.0
10718,Dual Hearts, PlayStation 2,"September 23, 2002","Long ago, a sage divided the world into the dream and real world in order to seal the power Nightmare, an evil creature that is the culmination of all that is wrong in the world. With Nightmare's power weakened, the sage was able to divide its mind and body and peace was restored to the two worlds... Enter Rumble, a young treasure hunter who has come to the Sonno Island in search of the legendary Dream Stone. Unfortunately, the stone cannot be obtained through ordinary means... Enter Tumble, a magical creature on a mission by the Queen to undo the seal on the temple... and your only way into the dream world. Together you'll travel by land, air and sea through wondrous and sometimes twisted dreamscapes to unlock the magical orbs that will break the seal to the temple. [Atlus]",70,0.0
10720,MTV Sports: Pure Ride, PlayStation,"September 30, 2000","MTV: Pure Ride is an excellent snowboarding game, but it's yet another example of a development house shifting the majority of its resources to the next generation of hardware.",70,0.0
10741,NBA Ballers: Phenom, Xbox,"March 29, 2006","Here it is...The NBA Finals in sunny Los Angeles, California. It's time for all the unknowns from around the world to step on the court and get noticed by the right people. From scouts and coaches to casting directors, everyone is looking for the next ""phenom."" You have one week to check out the city and prove that you're the one everyone is looking for. Take the trophy in unique basketball tournaments, customize your style to get all the eyes on you, and interact with the local scene. By the end of the week, you could be the #1 draft pick of the NBA or on your way to your own entertainment empire. Have you got the skills to prove you belong at the top?",70,0.0
10743,Cotton Reboot!, PlayStation 4,"July 20, 2021","Japan's favorite shooter mascot finally gets a worldwide release as a beautiful HD game with stunning graphics and remixed soundtracks. This is the original ""Cute em' up"", and will test your skills as well as tug on the heartstrings as Cotton and her friends are finally back in the ultimate celebration of one of Japan's most beloved gaming mascots. Choose between the HD Reboot mode or go legit with the X68000 original mode with pixel perfect graphics from the iconic Japanese home computer.",70,0.0
10746,Obliteracers, PlayStation 4,"July 20, 2016","Award-winning party racing for up to 16 players! Race brutal-cute aliens on exotic planets, using weapon powerups and physics-based vehicles to annihilate your competition in frantic round-based combat.",70,0.0
10769,High Heat Major League Baseball 2004, PC,"March 4, 2003","New features for this year include a brand-new graphics engine, all-new motion-captured player animations, and Franchise Mode containing comprehensive player contracts, financial and free agent systems and realistic player management features. They've even tripled the number of pitch types from detailed scouting reports and input from Curt Schilling, himself! [3DO]",70,0.0
10775,Absolute Drift, Switch,"December 3, 2020","In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.",70,0.0
10797,Fire Tonight, Switch,"August 12, 2021",A narrative puzzle game about two people trying to find their way back together in a city on fire.,70,0.0
10799,Demon's Crystals, Xbox One,"May 12, 2017",,70,0.0
10809,The Collider 2, PC,"April 19, 2016","Destroy the colossal mothership looming over the planet and save your homeworld. With a fleet of high-tech starfighters at your disposal, take on a series of suicidal missions to destroy the alien invader from the inside.",70,0.0
10821,Turbo Turtle Adventure, Game Boy Advance,"September 14, 2002","Help Turbo Turtle win his freedom to once again swim the sea.  Trapped on the Isle of Mazes you must guide Turbo Turtle through deceitful labyrinths and nasty traps.  Collect keys to unlock doorways, avoid the super magnets and utilize the turbo boost feature to try and beat your fastest time.",70,0.0
10824,MXGP 2020 - The Official Motocross Videogame, PlayStation 5,"January 14, 2021","Career Mode: Take the role of a rookie in the world of Motocross. Join an official team or create your own. Live the main challenge of the career: racing through the official 2020 season. HEIGHTMAP BASED TRACK EDITOR. A new touch of realism for your tracks. Choose between 4 different terrain types. Use the heightmaps to create the track of your dreams in a realistic way, through hills and mountains Share your creations or download new ones. Roam free in the Playground area inspired by the suggestive Norwegian fjords. Choose your starting point, place the Waypoints around the map, race across them, complete the path and share it online. Low latency, reliable connection, high bandwidth to enhance your MXGP 2020 multiplayer experience. Race against your friends or free roam together in the new Playground area. RACE DIRECTOR MODE. Create, race and stream exciting online challenges using special cameras and deciding the fate of races.",70,0.0
10859,Risk System, Switch,"July 15, 2021","In the distant future, humanity has discovered a method to replicate matter through the use of a Dimensional Gate. Industry is revolutionized overnight and a short period of chaos gives way to all warring factions uniting under a common banner. A few years pass and the peace brought about by Gate Technology crumbles once a new threat appears; a race of energy parasites that have crossed through the Dimensional Gate by mimicking the very materials humanity had believed they were replicating. Mankind is quickly overtaken as their technology is turned against them and the energy emitted by the parasites begins to take control of those exposed. In an act of desperation, the experimental RSK9 is constructed, a ship made of Pre-Gate materials and technology with the ability to absorb parasite energy and use it to power its incredible arsenal. Piloting the RSK9 is Alys, an ace pilot previously missing in action that has returned seemingly immune to parasite control. Her skill and resistance to the parasite energies influence make her the only pilot capable of preventing the extinction of mankind.",70,0.0
10860,King of Seas, Xbox One,"May 25, 2021","King of Seas is an Action Role playing game set in a procedural pirate world. An epic adventure awaits you in a fantastic world, dotted with fights, lost islands and treasures. A universe that will keep you anchored as you struggle to become the king of all pirates.",70,0.0
10861,The Invisible Hand, PC,"May 7, 2021","Want to get rich, quick? Welcome to FERIOS, where you’ll be empowered to pursue wealth and success as a mid-level stockbroker! Your wildest dreams of wealth can come true… at the cost of everything else.",70,0.0
10862,Skate City, Switch,"May 6, 2021","Skate City captures the heart and soul of street skating in an authentic light. Players will have the opportunity to explore three unique cities based off of real-world skate locations, including the streets of Los Angeles, Oslo, and Barcelona in our console and PC release. Set to original lo-fi beats, you can ride like a local through each city’s Challenge mode, or take it at your own pace with Endless Skate.",70,0.0
10863,Root Film, PlayStation 4,"March 19, 2021","Two protagonists star side by side in Kadokawa Games's latest mystery adventure, Root Film. Up-and-coming filmmaker Rintaro Yagumo is scheduled to participate in the production of a mystery drama/PR initiative TV series set in Shimane Prefecture, which was cancelled for an unknown reason 10 years ago. However, a series of bizarre murders seem to follow them wherever they go... and it's up to Rintaro and new actress Riho to connect the dots. The Intuition mechanic allows players to find keywords during conversations throughout the game. When players discover enough keywords, they can then confront other characters in Max Mode, a fighting-game-style showdown, to solve a mystery. Are you ready to uncover the shocking truth...?",70,0.0
10865,Disjunction, PlayStation 4,"January 28, 2021","Disjunction features unique stealth-action mechanics and abilities for each of its three playable characters, giving players the freedom and flexibility to choose the playstyle that suits them. Tackle encounters in lethal, high-octane combat, or use your wits to stick to the shadows, utilizing distraction techniques and non-lethal attacks to reach your objective.",70,0.0
10866,Immortals Fenyx Rising: A New God, Xbox Series X,"January 28, 2021","As Fenyx, overcome the legendary trials and challenges of the gods of Olympos to change the Greek Pantheon and fulfill your destiny.",70,0.0
10870,Namco Museum Archives Vol. 1, Switch,"June 18, 2020","Take a trip down memory lane and relive the magical times of the 8-Bit era with a collection of Namco’s hits and long-lost treasures in Namco Museum Archives Volume 1. ■Includes 11 titles! In addition to 10 classic Namco titles, some of which were never localized and released in the west, a newly created 8-Bit demastered version of ""Pac-Man Championship Edition"" makes its world premiere as a bonus! (Titles included: Galaxian, Pac-Man, Xevious, Mappy, Dig Dug, The Tower of Druaga, Sky Kid, Dragon Buster, Dragon Spirit: The New Legend, Splatterhouse: Wanpaku Graffiti, and Pac-Man Championship Edition) ■Equipped with convenient modern functions! Convenient features such as the ""save function"" that allows you to interrupt the game at any time and the ""replay function"" that allows you to start over at the last minute.",70,0.0
10874,Sega Ages: Ichidant-R, Switch,"October 17, 2019","Releasing in the West for the first time, Ichidant-R, the wacky series of timed puzzle mini-games, is now available in the SEGA AGES series for Nintendo Switch™. Push the limits of your brain and your coordination by hunting for hidden vampires, conducting an orchestra, warping your way through mazes, shooting down UFOS, and much more across 20 wildly varied mini games!",70,0.0
10877,Rival Megagun, Switch,"December 6, 2018",Avoid flurries of bullets as you blast through waves of enemies.,70,0.0
10879,Joggernauts, Switch,"October 11, 2018",Jog! Jump! Switch! Coordinate the crazy conga line of alien athletes in this autorunner / puzzle platformer for 1-4 players.,70,0.0
10881,The Mooseman, Switch,"July 18, 2018","Long-long time ago the world was created out of an egg-shell by a god named Yen. In the murky depths of the endless ocean the Lower World was born. The Middle World was made for the men to dwell, and the Upper World was were the ancient gods would reside. Multitudes of spirits dwell among the layers of creation, guarding their secrets in the dark. Embark on a journey through all the worlds of ancient myth, find artefacts of Chud' tribes and solve all the mysteries of finno-ugric tales. You are the Mooseman and you have the ability to see all that is hidden to the mortal eye. You are about to visit three layers of this universe - the first one is the Lower World where the spirits of the dead reside.",70,0.0
10893,Clockwork Tales: Of Glass and Ink, Xbox One,"January 22, 2016","Delve into this exciting detective adventure game with a steampunk twist! Strange earthquakes are causing the worlds cities to crumble to ruin. The brilliant Dr. Ambrose Ink hopes to expose the underlying cause of this phenomenon, but he needs the assistance of his longtime friend, Agent Evangeline Glass. The heroine will have to storm the castle of the General Engineer of Gottland to find out the truth and stop the cataclysm.",70,0.0
10899,Super Galaxy Squadron, PC,"January 23, 2015","Super Galaxy Squadron is a fast-paced vertical shooter designed for typical human beings as well as shmup veterans. Featuring a challenging but merciful difficulty curve, forgiving health system, and proceeds benefiting Child's Play Charity.",70,0.0
10924,Neves, DS,"November 6, 2007","NEVES is a unique puzzle game that challenges players to think critically as they align pieces and build figures that correspond to a silhouette. Each puzzle features seven wooden blocks, requiring the player to combine them to form specific figures ranging from simple items like a sword or key to more complicated ones such as birds or airplanes. Targeted towards a more mature audience, NEVES still appeals to anyone who enjoys challenging puzzles. And because of the unique stylus controls of the DS, controlling the puzzle pieces in NEVES is a cinch; tilting, flipping, and moving the blocks is as simple as dragging and tapping. But be careful, just because controlling the pieces is easy doesn't mean the puzzles have to be. With over 500 different puzzles to choose from and four different modes including puzzle mode, count mode, time mode, and versus mode, players will have countless hours of fun solving puzzles of varying difficulty. [Yuke's]",70,0.0
10941,Arca's Path VR, PlayStation 4,"December 4, 2018","Trapped in the enchanting simulated world of Arca, it is up to you to find a path through the labyrinth and break free. With intuitive hands-free gameplay, Arca’s Path is an atmospheric VR gaming experience.",70,0.0
10973,Sega Arcade Gallery, Game Boy Advance,"May 21, 2003","Sega Arcade Gallery for the GBA includes accurate conversions of OutRun, Super Hang-On, and Space Harrier, as well as a so-so rendition of After Burner.",70,0.0
10985,Darkestville Castle, Switch,"August 13, 2020","Dear Potential servant of chaos, Being evil isn’t always easy… But boy it is so much more fun than being a good guy. Having someone witty like you on my team could be useful during these not so dark times. Everything in Darkestville was fine and dandy: I was tormenting the town people, the town people were being tormented… It was a fair deal! Who could complain? Not me, that’s for sure! …until that moron, Dan Teapot, hired a group of professional demon hunters to banish me! I don’t even know why he has a grudge against me. Maybe I burnt his house a couple of times, but I only did it because it was hilarious! Anyway. Help me in this adventure to best my foes and let’s make evil reign Darkestville once more!",70,0.0
10987,Fatal Fury: Battle Archives Volume 2, PlayStation 2,"April 8, 2008","Fatal Fury Battle Archives Vol. 2 is a collection of 3 games (on one disc) from one of SNK’s most popular fighting game series FATAL FURY. The titles included are: REAL BOUT FATAL FURY, REAL BOUT FATAL FURY SPECIAL and REAL BOUT FATAL FURY 2; The Newcomers. The games are known for their hand-drawn animation and character designs containing visual flair and personality with 2D gameplay that is fast, furious and addictive. [SNK Playmore]",70,0.0
11012,Dance Dance Revolution SuperNOVA 2, PlayStation 2,"September 25, 2007","Dance Dance Revolution SuperNOVA2 is the follow-up to 2006's biggest and best DDR game to date. Dance Dance Revolution SuperNOVA2 delivers a dance party extravaganza with its fun interactive gameplay, incredible song selection and innovative new game modes. Featuers brand new game modes and fully adaptable to newbies and pros. Enhanced online support offers 4-player multiplayer. EyeToy supports for PlayStation 2 – use your hands and feet and see yourself on TV! [Konami]",70,0.0
11044,Dr. Muto, Xbox,"November 19, 2002","Dr. Muto is a fully 3D, free-roaming, third-person action adventure game set in a stylized universe full of fiendish puzzles, mind-bending devices, freakish monstrosities, and twisted comedy. You are Dr. Muto, a maniacal and genius mad scientist whose latest experiment has accidentally destroyed his own home planet--all except for his laboratory. The game features a cast of unusual characters including Dr. Muto's sidekick, Janky, and his nemesis, Professor Burnital. By simply sampling some DNA, the doctor can morph into a spider, mouse, gorilla, or whatever creature he sees fit to become. Now he must use his fiendish gadgets and morphing ability to steal organic matter from the neighboring planets in order to rebuild his world.",70,0.0
11045,NCAA College Football 2K3, Xbox,"August 13, 2002","Both veteran and rookie players alike will enjoy the dramatic feature improvements of NCAA College Football 2K3. There are new player models, completely redesigned stadiums, and all 25 official BCS bowls are represented. A revamped Legacy Mode allows gamers to recruit key high-school stars and compare lifetime records against other collegiate programs in the historical rankings system. Go out for the team!",70,0.0
11055,In Sound Mind, PlayStation 5,"September 28, 2021","From the creators of cult classic Nightmare House 2, comes an imaginative psychological horror experience that challenges your expectations and ushers you through the deepest corners of your mind. As you awake in the corridors of an inexplicable building, you find the environment takes on a life of its own and leads you to discover a series of victims, all exposed to the same experimental therapy. In your search for answers, bizarre visions emerge and introduce a host of imposing horrors. With your sanity in question, you have no choice but to rely on your instinct…and a cat named Tonia. In Sound Mind is a witty first-person psychological horror with frenetic puzzles, unique boss fights, and original music by The Living Tombstone. Explore and fight through a series of unsettling memories as you journey within the inner workings of the one place you can’t seem to escape—your own mind.",70,0.0
11057,SingStar Pop Vol. 2, PlayStation 2,"September 23, 2008","SingStar Pop Vol.2 for the PS2 represents a wide variety of songs and videos from some of the hottest pop artists on the planet. Featuring hits from artists such as Fall Out Boy, Fergie, Rihanna, and more, Pop Vol.2 really brings the experience of being a pop star straight to your TV. So sing, compete, and keep the party going. [SCEA]",70,0.0
11059,140, Switch,"January 9, 2020","At its heart 140 is an old-school platformer set in a world of abstract colorful graphics, but it has a musical twist. You’ll need to overcome obstacles that are controlled by an energetic, yet melancholic electronic soundtrack - meaning you’ll need a heightened sense of rhythm to sync up your every move and jump to the music.",70,0.0
11073,Minute of Islands, PlayStation 4,"June 13, 2021",Explore strange and wonderful islands and dark labyrinths below in this narrative puzzle platformer. Guide young mechanic Mo on her quest to repair a world on the brink of collapse. The powerful Omni Switch at your disposal may not be enough to fix the damage that hides beneath the surface..,70,0.0
11085,AIPD - Artificial Intelligence Police Department, Xbox One,"January 29, 2016","Enter the AI arena and fight evil artificial intelligences with a variety of weapons and modifications. AIPD is a top-down coop twin-stick shooter with a visual style that is an homage to 80s neon art styles, pioneered by games like Minestorm on the Vectrex console system or feature films like TRON.",70,0.0
11104,ESPN Final Round Golf 2002, Game Boy Advance,"August 28, 2001","Golf action has moved from the greens to the portable convenience of the Game Boy® Advance. Choose from 14 golfers, 5 courses and a variety of club. You will experience realistic weather conditions such as wind, rain and sunshine on the fairway. Tee off against up to 3 other players using the Game Boy® Advance Game Link® cable.",70,0.0
11116,Pinball Hall of Fame - The Gottlieb Collection, Xbox,"November 18, 2004","Pinball Hall of Fame features more than eight pinball tables from the '60s through the '90s. The game features realistic physics, detailed graphics, and sounds captured directly from the actual tables. A tutorial fly-through of each table helps you plan your strategy and make every shot count. Compete for the high score alone or against three of your friends. With enough play, you'll learn fun facts about each table and even unlock a bonus table.",70,0.0
11126,Midway Arcade Treasures Deluxe Edition, PC,"February 17, 2006","Deluxe Edition Midway Arcade Treasures: Deluxe Edition lives up to its title with an abundance of Midway arcade-perfect classics from both Midway Arcade Treasures 2 and Midway Arcade Treasures 3. This collection includes a wide-array of games ranging from fighting to racing. For the first time ever on PC, gamers will hear the famous cries of ""Fight"" and ""Finish Him"" from Mortal Kombat, Mortal Kombat II and Mortal Kombat 3. Gamers will also be offered a plethora of multi-player action, in two-player hits such as Arch Rivals and Total Carnage, three-player games Rampage World Tour and Xenophobe, and the four player classic Gauntlet II. [Midway]",70,0.0
11136,Real Soccer 2009, DS,"November 4, 2008","(Also known as ""Real Football 2009"") Feel as close as possible to being a real professional soccer player. Real Soccer 2009 is the definitive soccer title designed specifically for the Nintendo DS and its unique capabilities. The game offers a never-before-seen soccer experience with revolutionary yet accessible Touch Screen controls (e.g. fake opponents by drawing a circle to perform a roulette). It includes 198 teams using real players' names, dynamic AI opponents and 3D graphics that push the DS to the max. Real Soccer 2009 is the true benchmark that this platform deserves for soccer games. Take your best shot on the DS. [Ubisoft]",70,0.0
11141,Tricky Towers, Xbox One,"September 15, 2017","With your brilliant robe and magic powers, it's time to build some Tricky Towers! Tricky Towers is a multiplayer physics-based tower building game. In a game of Tricky Towers you stack your bricks to create a stable tower and try to topple those of your opponents. To spice it up you can cast magic to support your structure and fend off the dark spells of your rivals in this frantic physics party game. Tricky Towers offers local and online multiplayer with up to 4 players in Race, Survival and Puzzle mode. It also features 50 single player trials for players to test their skills or practice for online play. With spells flying everywhere and bricks tumbling down, Tricky Towers makes for a chaotically good time!",70,0.0
11142,Pix the Cat, Xbox One,"February 8, 2017","PIX the CAT is an intense arcade game designed to make your pads sore!Rescue forsaken ducklings from the nested levels of the infamous GRID of INFINITY. Perfect your skills to SPEED and COMBO UP until you reach the explosive FEVER TIME! Defeat your friends at home in the combat ARENA and compete online with the GHOST feature. Surprising surprises are hidden along your adventure, eager to please you when you least expect it!",70,0.0
11158,Tiger Woods PGA Tour 10, PSP,"June 8, 2009","Tiger Woods PGA Tour 10 takes golf fans inside-the-ropes to experience the drama and emotion of tournament golf. In addition, the U.S. Open, a USGA championship, and the USGA’s Rules of Golf is available in Tiger Woods PGA Tour 10 for the first time in franchise history. As you hear the roar of the crowd from the next hole over, can you handle the mounting pressure while you stand over your tournament-winning putt? Expanded crowds surround every hole; adding to the tension and excitement of each shot. A first for the franchise, real-time weather is reflected on every course, ensuring the in-game experience matches that of the current weather conditions. Tiger Woods PGA Tour 10 also features a television broadcast style presentation, which include instantaneous updates and a new announcer team of ESPN’s Scott Van Pelt and the Golf Channel’s Kelly Tilghman. [Electronic Arts]",70,0.0
11160,Art Style: ROTOHEX, Wii,"October 27, 2008","[WiiWare] Use colored triangular panels to create a vibrant mosaic of stained glass in Art Style: ROTOHEX. As triangles fall from the top of the screen, rotate them to group six panels of the same color and create a matching hexagon, or HEX. Once the HEX has been formed, it will disappear, allowing the existing panels to shift and more panels to fill the playing field. A clear-cut goal and two different styles of intuitive controls allow you to focus solely on the game play-which is vital, as the playing field will be full of panels before you know it. With multiple modes (unlock more as you progress further in SOLO mode), special item panels at your disposal, and the ability to play cooperatively or competitively with a friend, there will always be another HEX to create. [Nintendo]",70,0.0
11168,Neopets Puzzle Adventure, DS,"November 25, 2008","Neopets Puzzle Adventure offers an in-depth and exciting storyline full of puzzle-based gameplay set in the world of Neopets. The game offers pick up and play gameplay, new never-before-seen areas in the Neopets universe to explore, and the opportunity to redeem codes for exclusive virtual items at the Neopets website. The game board itself resembles a chessboard, while the gameplay takes the principles of Reversi and Go, and adds new twists that take the adventure to unexpected levels. The goal is to turn all of the chips on the board to your Neopet's color. [Capcom]",70,0.0
11170,Earth Defense Force: World Brothers, Switch,"May 27, 2021","A new battlefield appears in the ""EDF"" series. This time, the world becomes the square Earth. The name of this game is ""EARTH DEFENSE FORCE: WORLD BROTHERS"". This game takes place in the 3D voxel world, which everything is made up of square pieces. In this world, the Earth is not round but square. And now, this voxel Earth is fallen apart into square pieces, breaking its blocky peace. But whether round or square, the Earth must be the Earth. So now, the player and the ""EARTH DEFENSE FORCE"" must rise to the occasion and save the day to restore a shattered Voxel Earth to one peace.",70,0.0
11171,Witcheye, Switch,"August 27, 2020","Set off on an adventure as a mild-mannered witch who transforms into a flying eyeball of vengeance after a smarmy knight and wizard steal her spell ingredients. You’ll guide her through 50+ levels, each containing something completely unique: tricky new enemies, mysterious new environments, and puzzling new secrets. These elements are brought to life with colorful, clean pixel art and a lively, head-bobbing original soundtrack. Witcheye is a new approach to platforming with a free movement dash through the air. Players are able to stop on a spot, reverse direction, or alter their course at will. Bounce into devilish little beasts, snag collectables and make it to the goal of each level however possible.",70,0.0
11186,Polar Panic, Xbox 360,"December 23, 2009","[Xbox Live Arcade] Polar Panic has you playing through 50 challenging levels to battle Mr. Big in Story Mode. Or work your way through all 50 of the fiendish block-based puzzles. Survive against never-ending waves of trappers in Survivor Mode. Play on your own or with two to four players against the trappers and each other in Kills, Points, or Last Man Standing variations. [Valcon Games]",70,0.0
11200,Scene It? Movie Night, Xbox 360,"November 30, 2011",Scene It? Movie Night is a movie trivia showdown game packed with clips from classic favorites and big box-office blockbusters.,70,0.0
11219,Planetbase, Xbox One,"May 3, 2017","Lead a group of space settlers trying to establish a base on a remote planet. Grow food, collect energy, mine resources, survive disasters and build a self-sufficient colony in a harsh and unforgiving environment. [XBox.com]",70,0.0
11223,MLB Power Pros 2008, DS,"August 25, 2008","With over ten different exciting game modes including the traditional Practice, Exhibition, League and Home Run Challenge modes, MLB Power Pros 2008 brings fans closer to the action than ever before. Gamers also get the opportunity to act as general manager and control the destiny of their own franchise in Season mode, or engage in entertaining role-playing story modes such as Success and MLB Life modes. As general manager, gamers can trade, sign free agents, coordinate practice schedules, purchase new equipment, call up and send down players from the Minor Leagues, along with other management options to bring in fans, win playoff games and eventually, earn the title of World Series champion. In Success mode, fans can participate in a story-based career of rising players in the Double-A Minor League system trying to improve their baseball skills and make an impression on baseball scouts while also having to balance various situations in their personal lives. Through a variety of amusing training and game challenges, players who complete Success mode can take their created player files into MLB Life as well, or also play as either an existing Major League Baseball player in Dream Mode, or start as a rookie in Major League Career mode. As a new feature in MLB Power Pros 2008, MLB Life is another story-based mode that allows fans the possibility to simulate the exciting life and experience of being a Major League Baseball player over the course of a 20-year career. While continuing to play in games through the regular baseball season, players also participate in a number of realistic situations such as signing contracts, purchasing houses and cars, making charitable donations, building up relationships with friends and teammates, picking up hobbies and much more. [2K Sports]",70,0.0
11251,Half Past Fate, Switch,"March 12, 2020","Half Past Fate is a romantic narrative-adventure game about three relationships that form either over the span of eight hours or eight years. Follow the adventures of six people who stumble their way through love and companionship in a hybrid 3D pixel-art world. Lead them through their daily struggles, quirky events, and life-changing decisions. Featuring a full cast of diverse characters with contrasting personalities, Half Past Fates takes you through intersecting stories over varying timespans that show how love can grow and develop in unexpected ways.",69,0.0
